"Date","Price","Open","High","Low","Vol.","Change %"
"12/07/2022","2.94","3.11","3.17","2.92","258.33M","-5.77%"
"12/06/2022","3.12","3.12","3.20","3.05","133.90M","1.30%"
"12/05/2022","3.08","3.21","3.25","3.03","132.81M","-4.94%"
"12/02/2022","3.24","3.12","3.38","3.05","257.43M","4.52%"
"12/01/2022","3.10","3.38","3.39","3.10","203.78M","-9.09%"
"11/30/2022","3.41","3.37","3.47","3.26","208.76M","1.49%"
"11/29/2022","3.36","3.36","3.47","3.17","195.37M","1.20%"
"11/28/2022","3.32","3.25","3.45","3.23","151.67M","-2.92%"
"11/25/2022","3.42","3.60","3.62","3.32","210.07M","-5.00%"
"11/24/2022","3.60","3.43","3.66","3.43","164.39M","6.51%"
"11/23/2022","3.38","3.29","3.38","3.20","167.07M","1.20%"
"11/22/2022","3.34","3.39","3.45","3.20","204.50M","-1.18%"
"11/21/2022","3.38","3.24","3.48","3.20","251.25M","7.30%"
"11/18/2022","3.15","3.50","3.58","3.09","269.07M","-7.08%"
"11/17/2022","3.39","3.22","3.46","3.03","241.03M","1.80%"
"11/16/2022","3.33","3.62","3.64","3.31","224.14M","-8.01%"
"11/14/2022","3.62","3.55","3.71","3.45","215.54M","4.62%"
"11/11/2022","3.46","4.11","4.15","3.38","389.27M","-13.07%"
"11/10/2022","3.98","4.22","4.35","3.89","226.32M","-10.96%"
"11/09/2022","4.47","4.63","4.67","4.40","121.05M","-3.46%"
"11/08/2022","4.63","4.51","4.77","4.50","167.24M","1.98%"
"11/07/2022","4.54","4.80","4.94","4.50","171.03M","-6.00%"
"11/04/2022","4.83","5.00","5.01","4.76","158.19M","-0.82%"
"11/03/2022","4.87","4.46","4.95","4.40","241.35M","6.80%"
"11/01/2022","4.56","4.53","4.67","4.33","201.55M","2.01%"
"10/31/2022","4.47","4.38","4.66","4.26","262.44M","2.05%"
"10/28/2022","4.38","4.17","4.44","4.10","198.79M","3.79%"
"10/27/2022","4.22","3.94","4.32","3.92","217.98M","7.93%"
"10/26/2022","3.91","4.20","4.23","3.88","185.64M","-8.86%"
"10/25/2022","4.29","4.07","4.47","4.04","213.67M","5.15%"
